TAZ,District,Sector,LUZ,Location,PlanDist,CityI,CityII,CityIII,Municipality,CityI-NC,CityII-NC,CityIII-NC
101,1,1,101,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
102,1,1,102,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
103,1,1,103,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
104,1,1,104,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
105,1,1,105,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
106,1,1,106,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
107,1,1,107,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
108,1,1,108,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
109,1,1,109,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
110,1,1,110,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
111,1,1,111,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
112,1,1,112,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
113,1,1,113,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
114,1,1,114,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
115,1,1,115,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
116,1,1,116,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
117,1,1,117,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
118,1,1,118,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
119,1,1,119,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
120,1,1,120,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
121,1,1,121,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
122,1,1,122,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
123,1,1,123,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
124,1,1,124,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
125,1,1,125,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
126,1,1,126,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
127,1,1,127,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
128,1,1,128,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
129,1,1,129,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
130,1,1,130,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
131,1,1,131,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
132,1,1,132,City,Central,City Centre,Rest City,Rest City,1-Edmonton,NC,City,City
133,1,1,133,City,Central,City Centre,City Centre,City Centre,1-Edmonton,NC,NC,NC
201,2,2,201,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
202,2,2,202,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
203,2,2,203,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
204,2,2,204,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
205,2,2,205,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
206,2,2,206,City,Scona,Secondary Node,Rest City,Rest City,1-Edmonton,NC,City,City
207,2,6,207,City,Scona,Secondary Node,Rest City,Rest City,1-Edmonton,NC,City,City
208,2,2,208,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
209,2,2,209,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
210,2,2,210,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
211,2,2,211,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
212,2,6,212,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
213,2,2,213,City,Scona,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
214,2,2,214,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
215,2,6,215,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
216,2,6,216,City,Scona,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
301,3,7,301,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
302,3,7,302,City,Scona,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
303,3,7,303,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
304,3,7,304,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
305,3,7,305,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
306,3,7,306,City,Scona,Rest City,Primary Node,Primary Corridor,1-Edmonton,City,NC,NC
307,3,7,307,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
308,3,7,308,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
309,3,7,309,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
310,3,7,310,City,Scona,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
311,3,7,311,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
312,3,7,312,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
313,3,7,313,City,Scona,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
314,3,7,314,City,Scona,Primary Corridor,Primary Corridor,Rest City,1-Edmonton,NC,NC,City
315,3,7,315,City,Scona,Primary Corridor,Primary Corridor,Rest City,1-Edmonton,NC,NC,City
316,3,7,316,City,Scona,Primary Corridor,Primary Corridor,Rest City,1-Edmonton,NC,NC,City
317,3,7,317,City,Scona,Primary Corridor,Primary Corridor,Rest City,1-Edmonton,NC,NC,City
318,3,7,318,City,Scona,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
319,3,7,319,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
320,3,7,320,City,Scona,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
321,3,7,321,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
322,3,7,322,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
323,3,7,323,City,Scona,Rest City,Primary Node,Primary Corridor,1-Edmonton,City,NC,NC
324,3,7,324,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
325,3,7,325,City,Scona,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
326,3,7,326,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
327,3,7,327,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
328,3,7,328,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
329,3,7,329,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
330,3,7,330,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
331,3,7,331,City,Scona,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
332,3,7,332,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
333,3,7,333,City,Scona,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
334,3,7,334,City,Scona,Rest City,Secondary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
335,3,7,335,City,Scona,Secondary Node,Primary Corridor,Rest City,1-Edmonton,NC,NC,City
336,3,7,336,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
401,4,12,401,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
402,4,12,402,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
403,4,12,403,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
404,4,12,404,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
405,4,12,405,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
406,4,12,406,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
407,4,12,407,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
408,4,12,408,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
409,4,12,409,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
